time,latitude,longitude
2020-05-31:18.00.00,12.9,72.2
2020-05-31:21.00.00,12.95,71.975
2020-06-01:00.00.00,13,71.625
2020-06-01:03.00.00,13,71.4
2020-06-01:06.00.00,13.2,71.4
2020-06-01:09.00.00,13.7,71.3
2020-06-01:12.00.00,14.2,71.2
2020-06-01:15.00.00,14.4,71.2
2020-06-01:18.00.00,14.6,71.2
2020-06-01:21.00.00,15,71.2
2020-06-02:00.00.00,15.3,71.2
2020-06-02:03.00.00,15.6,71.2
2020-06-02:06.00.00,16,71.2
2020-06-02:09.00.00,16.3,71.3
2020-06-02:12.00.00,16,71.4
2020-06-02:15.00.00,16.8,71.6
2020-06-02:18.00.00,17.1,71.8
2020-06-02:21.00.00,17.2,72
2020-06-03:00.00.00,17.3,72.1
2020-06-03:03.00.00,17.6,72.3
2020-06-03:06.00.00,18.1,72.8
2020-06-03:09.00.00,18.5,73.2
2020-06-03:12.00.00,19,73.7
2020-06-03:15.00.00,19.6,74
2020-06-03:18.00.00,19.8,74.8
2020-06-03:21.00.00,20,75.5
2020-06-04:00.00.00,20.5,76
2020-06-04:03.00.00,21.2,76.9
2020-06-04:06.00.00,21.8,77.6
